Education,JoiningYear,City,PaymentTier,Age,Gender
Bachelors,2017,Bangalore,3,34,Male
Bachelors,2014,New Delhi,3,38,Female
Bachelors,2015,New Delhi,3,38,Male
Bachelors,2016,Bangalore,3,34,Female
Masters,2017,New Delhi,2,37,Male
Bachelors,2016,Pune,3,34,Male
Bachelors,2018,Pune,3,32,Male
Bachelors,2016,Bangalore,3,39,Male
Bachelors,2012,Bangalore,3,37,Male
Bachelors,2014,Bangalore,3,34,Female
Bachelors,2014,Pune,3,34,Male
Bachelors,2012,Bangalore,3,37,Male
Bachelors,2017,New Delhi,2,36,Male
Bachelors,2016,Bangalore,3,37,Male
Bachelors,2013,Pune,2,31,Female
Bachelors,2016,Bangalore,3,40,Male
Bachelors,2017,Pune,2,37,Female
Bachelors,2018,New Delhi,2,34,Female
Bachelors,2015,Bangalore,3,36,Male
Bachelors,2014,Bangalore,3,36,Male
Bachelors,2015,Pune,3,39,Male
Masters,2013,New Delhi,3,35,Male
Masters,2017,New Delhi,2,34,Male
PHD,2017,New Delhi,3,34,Male
Bachelors,2016,Bangalore,3,34,Female
Bachelors,2014,Bangalore,3,31,Female
Bachelors,2017,New Delhi,3,31,Female
Bachelors,2016,Bangalore,3,38,Male
Masters,2014,Pune,3,39,Female
Bachelors,2013,Pune,3,32,Male
Masters,2017,Pune,2,36,Male
Bachelors,2016,Bangalore,3,34,Male
Bachelors,2018,Bangalore,3,40,Male
Masters,2017,Bangalore,3,40,Female
Masters,2017,Bangalore,3,31,Male
Bachelors,2015,Bangalore,3,40,Male
Bachelors,2012,Bangalore,3,39,Male
PHD,2015,New Delhi,1,37,Male
Bachelors,2017,Pune,3,38,Male
Bachelors,2013,Bangalore,3,31,Female
Bachelors,2016,Bangalore,3,38,Male
Bachelors,2016,Pune,2,36,Male
Masters,2015,Pune,2,32,Female
Masters,2012,New Delhi,3,32,Male
Bachelors,2017,New Delhi,2,34,Female
Masters,2013,New Delhi,3,36,Male
Bachelors,2014,Bangalore,3,39,Male
Bachelors,2016,Bangalore,3,31,Female
