Education,JoiningYear,City,PaymentTier,Age,Gender,Salary
Bachelors,2013,Pune,1,28,Female,100000
Masters,2017,Pune,3,24,Male,150000
Bachelors,2016,Pune,3,23,Male,170000
Bachelors,2016,Pune,3,34,Male,90000
Bachelors,2018,Pune,3,32,Male,180000
Bachelors,2014,Pune,3,34,Male,70000
Bachelors,2015,Pune,2,30,Female,50000
Bachelors,2013,Pune,2,31,Female,50000
Bachelors,2017,Pune,2,37,Female,170000
Bachelors,2017,Pune,2,29,Female,80000
Bachelors,2014,Pune,3,30,Male,70000
Bachelors,2015,Pune,3,39,Male,50000
Bachelors,2015,Pune,2,26,Female,140000
Masters,2014,Pune,3,39,Female,120000
Bachelors,2013,Pune,3,32,Male,140000
Masters,2017,Pune,2,36,Male,130000
Bachelors,2014,Pune,1,22,Female,130000
Bachelors,2014,Pune,3,25,Female,110000
Bachelors,2017,Pune,3,38,Male,70000
Bachelors,2016,Pune,2,36,Male,150000
Bachelors,2017,Pune,2,27,Female,50000
Masters,2015,Pune,2,32,Female,170000
